Town ID,Town Name,Registered Voters,Issued Ballots,Valid Votes,Strana zelených,Švýcarská demokracie,VOLNÝ blok,Svoboda a př. demokracie (SPD),Česká str.sociálně demokrat.,ALIANCE NÁRODNÍCH SIL,Trikolora Svobodní Soukromníci,Aliance pro budoucnost,Hnutí Prameny,PŘÍSAHA Roberta Šlachty,"SPOLU – ODS, KDU-ČSL, TOP 09",Urza.cz: Nechceme vaše hlasy,Koruna Česká (monarch.strana),PIRÁTI a STAROSTOVÉ,Komunistická str.Čech a Moravy,ANO 2011,Otevřeme ČR normálnímu životu
566152,Domoušice,535,285,284,"1,40 %","0,00 %","1,40 %","12,32 %","5,28 %","0,70 %","2,81 %","0,00 %","0,00 %","4,57 %","17,60 %","0,35 %","0,70 %","6,69 %","4,57 %","41,19 %","0,35 %"
566187,Holedeč,494,336,335,"2,38 %","0,29 %","0,89 %","19,10 %","2,68 %","0,00 %","2,98 %","0,59 %","0,00 %","4,77 %","12,83 %","0,29 %","0,00 %","8,95 %","4,47 %","38,50 %","1,19 %"
566195,Hříškov,338,209,209,"1,91 %","0,95 %","0,95 %","11,00 %","0,47 %","0,00 %","1,91 %","0,00 %","0,47 %","4,30 %","18,18 %","0,47 %","0,47 %","11,96 %","8,61 %","36,36 %","1,91 %"
566217,Hřivice,527,356,353,"1,13 %","0,00 %","0,84 %","9,34 %","3,39 %","0,56 %","1,98 %","0,00 %","0,28 %","6,23 %","20,67 %","0,28 %","0,00 %","9,34 %","5,66 %","39,94 %","0,28 %"
566233,Chlumčany,460,308,308,"1,29 %","0,64 %","0,64 %","11,36 %","2,92 %","0,00 %","2,59 %","0,00 %","0,00 %","5,51 %","25,32 %","0,00 %","0,00 %","14,61 %","1,94 %","32,79 %","0,32 %"
566241,Chožov,435,222,222,"3,60 %","0,45 %","0,45 %","12,16 %","3,15 %","0,90 %","2,70 %","0,00 %","0,00 %","6,30 %","16,66 %","0,00 %","0,00 %","9,90 %","4,05 %","39,63 %","0,00 %"
546429,Chraberce,100,70,70,"0,00 %","0,00 %","0,00 %","14,28 %","0,00 %","1,42 %","1,42 %","1,42 %","0,00 %","0,00 %","31,42 %","0,00 %","1,42 %","2,85 %","4,28 %","41,42 %","0,00 %"
546011,Jimlín,690,447,444,"1,35 %","0,45 %","2,47 %","16,44 %","5,63 %","0,22 %","1,12 %","0,00 %","0,22 %","4,05 %","13,06 %","0,22 %","0,22 %","6,30 %","5,18 %","42,56 %","0,45 %"
566284,Koštice,530,323,320,"1,25 %","0,00 %","0,31 %","5,93 %","4,06 %","0,00 %","1,25 %","0,31 %","0,31 %","5,93 %","18,12 %","0,00 %","0,31 %","11,87 %","4,37 %","45,31 %","0,62 %"
530557,Kozly,109,71,68,"0,00 %","0,00 %","0,00 %","27,94 %","4,41 %","0,00 %","0,00 %","0,00 %","0,00 %","4,41 %","5,88 %","0,00 %","0,00 %","4,41 %","2,94 %","48,52 %","1,47 %"
566306,Krásný Dvůr,525,328,326,"2,14 %","0,61 %","1,84 %","10,73 %","4,60 %","0,00 %","1,22 %","0,30 %","0,00 %","3,06 %","17,17 %","0,00 %","0,00 %","11,96 %","5,52 %","39,87 %","0,92 %"
566314,Kryry,1 868,1 151,1 148,"0,95 %","0,08 %","2,70 %","17,85 %","2,43 %","0,17 %","1,13 %","0,08 %","0,08 %","5,40 %","16,81 %","0,08 %","0,08 %","7,75 %","5,22 %","38,76 %","0,34 %"
566322,Lenešice,1 104,676,672,"2,52 %","0,29 %","0,89 %","12,20 %","3,57 %","0,00 %","1,93 %","0,29 %","0,14 %","3,27 %","19,79 %","0,14 %","0,14 %","9,97 %","3,72 %","40,17 %","0,89 %"
566349,Libčeves,724,464,461,"0,86 %","0,65 %","1,51 %","19,73 %","2,38 %","0,65 %","3,25 %","0,21 %","0,00 %","3,25 %","15,40 %","0,21 %","0,00 %","11,27 %","5,42 %","34,05 %","1,08 %"
566357,Liběšice,610,437,436,"0,22 %","0,00 %","0,91 %","20,41 %","1,60 %","0,00 %","1,37 %","0,45 %","0,00 %","2,98 %","17,66 %","0,22 %","0,00 %","6,42 %","4,35 %","42,88 %","0,45 %"
530590,Libočany,427,260,258,"2,32 %","0,38 %","0,00 %","20,93 %","2,71 %","0,00 %","1,93 %","0,00 %","0,38 %","2,71 %","13,95 %","0,38 %","0,00 %","6,97 %","5,03 %","41,47 %","0,77 %"
566381,Libořice,284,157,157,"0,00 %","0,00 %","1,27 %","12,73 %","0,63 %","0,00 %","1,27 %","0,00 %","0,00 %","4,45 %","10,19 %","0,00 %","0,63 %","3,82 %","3,18 %","61,78 %","0,00 %"
566403,Lipno,471,292,291,"1,03 %","0,34 %","0,00 %","20,27 %","4,46 %","0,00 %","2,06 %","1,71 %","0,34 %","4,46 %","12,02 %","0,00 %","0,34 %","8,24 %","3,78 %","40,20 %","0,68 %"
566411,Lišany,126,85,85,"1,17 %","0,00 %","1,17 %","27,05 %","0,00 %","0,00 %","2,35 %","0,00 %","0,00 %","1,17 %","8,23 %","0,00 %","0,00 %","3,52 %","4,70 %","50,58 %","0,00 %"
546879,Líšťany,387,269,269,"0,00 %","0,00 %","1,85 %","10,40 %","2,23 %","0,00 %","2,23 %","0,00 %","0,74 %","4,46 %","15,24 %","0,37 %","0,00 %","9,66 %","5,20 %","46,46 %","1,11 %"
565971,Louny,14 245,8 308,8 270,"1,41 %","0,24 %","1,25 %","10,01 %","4,77 %","0,04 %","2,17 %","0,19 %","0,15 %","4,23 %","23,08 %","0,13 %","0,21 %","11,69 %","4,92 %","35,06 %","0,37 %"
566438,Lubenec,1 199,790,788,"1,26 %","0,12 %","0,76 %","10,27 %","2,91 %","0,12 %","1,52 %","0,38 %","0,12 %","2,03 %","12,94 %","0,00 %","0,00 %","11,80 %","9,01 %","46,19 %","0,50 %"
566454,Měcholupy,782,447,443,"0,67 %","0,00 %","1,58 %","17,15 %","3,16 %","0,00 %","3,38 %","0,22 %","0,22 %","4,06 %","12,64 %","1,58 %","0,22 %","6,54 %","4,74 %","42,66 %","1,12 %"
566501,Nepomyšl,327,182,182,"2,19 %","0,00 %","2,19 %","17,03 %","3,84 %","0,00 %","2,19 %","0,00 %","0,00 %","3,29 %","17,03 %","0,00 %","0,54 %","6,04 %","4,94 %","40,65 %","0,00 %"
542636,Nová Ves,89,61,61,"0,00 %","0,00 %","1,63 %","4,91 %","9,83 %","0,00 %","1,63 %","0,00 %","0,00 %","4,91 %","13,11 %","0,00 %","0,00 %","8,19 %","13,11 %","37,70 %","4,91 %"
566519,Nové Sedlo,661,419,411,"0,48 %","0,97 %","1,21 %","13,13 %","1,45 %","0,48 %","2,67 %","1,21 %","0,24 %","1,94 %","8,27 %","0,24 %","0,00 %","25,06 %","4,62 %","35,76 %","2,18 %"
